Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
PanelA_LAB1_LIB1_R1	74.80867339534711	47.0	151.0	9.090909090909092	171438119.0
PanelA_LAB1_LIB1_R3	72.26939935225911	47.0	151.0	9.090909090909092	171438119.0
PanelA_LAB1_LIB2_R1	71.69833315358005	47.0	151.0	9.090909090909092	179197450.0
PanelA_LAB1_LIB2_R3	68.4312753672693	47.0	151.0	9.090909090909092	179197450.0
PanelA_LAB1_LIB3_R1	73.17497982097936	47.0	151.0	9.090909090909092	151748276.0
PanelA_LAB1_LIB3_R3	69.71404326439033	47.0	151.0	9.090909090909092	151748276.0
PanelA_LAB1_LIB4_R1	74.45826813170687	48.0	151.0	9.090909090909092	169379124.0
PanelA_LAB1_LIB4_R3	71.58675050664003	48.0	151.0	9.090909090909092	169379124.0
PanelA_LAB2_LIB1_R1	69.77698877369238	48.0	150.0	9.090909090909092	94572393.0
PanelA_LAB2_LIB1_R3	67.81751031876061	48.0	150.0	9.090909090909092	94572393.0
PanelA_LAB2_LIB2_R1	70.51160941985744	48.0	150.0	9.090909090909092	104515399.0
PanelA_LAB2_LIB2_R3	67.37241933363762	48.0	150.0	9.090909090909092	104515399.0
PanelA_LAB2_LIB3_R1	69.60276229784174	46.0	150.0	9.090909090909092	27643390.0
PanelA_LAB2_LIB3_R3	62.56838768605035	46.0	150.0	9.090909090909092	27643390.0
PanelA_LAB2_LIB4_R1	81.68918996373044	49.0	150.0	9.090909090909092	116405731.0
PanelA_LAB2_LIB4_R3	80.61876135584323	49.0	150.0	9.090909090909092	116405731.0
PanelA_LAB3_LIB1_R1	79.49588714309249	49.0	151.0	9.090909090909092	134547691.0
PanelA_LAB3_LIB1_R3	75.26740407493847	49.0	151.0	9.090909090909092	134547691.0
PanelA_LAB3_LIB2_R1	78.33131604865173	47.0	151.0	9.090909090909092	177079117.0
PanelA_LAB3_LIB2_R3	71.15000975411985	47.0	151.0	9.090909090909092	177079117.0
PanelA_LAB3_LIB3_R1	76.56560953952642	48.0	151.0	18.181818181818183	149122129.0
PanelA_LAB3_LIB3_R3	74.0437773970044	48.0	151.0	18.181818181818183	149122129.0
PanelA_LAB3_LIB4_R1	75.44215231545337	48.0	151.0	9.090909090909092	134367879.0
PanelA_LAB3_LIB4_R3	73.67789229287362	48.0	151.0	9.090909090909092	134367879.0
